Entity,Year,Deaths
All natural disasters,1900,1267360.00
All natural disasters,1901,200018.00
All natural disasters,1902,46037.00
All natural disasters,1903,6506.00
All natural disasters,1905,22758.00
All natural disasters,1906,42970.00
All natural disasters,1907,1325641.00
All natural disasters,1908,75033.00
All natural disasters,1909,1511524.00
All natural disasters,1910,148233.00
All natural disasters,1911,102408.00
All natural disasters,1912,52093.00
All natural disasters,1913,882.00
All natural disasters,1914,289.00
All natural disasters,1915,32167.00
All natural disasters,1916,300.00
All natural disasters,1917,2523507.00
All natural disasters,1918,461113.00
All natural disasters,1919,5500.00
All natural disasters,1920,3204224.00
All natural disasters,1921,1200000.00
All natural disasters,1922,101243.00
All natural disasters,1923,255701.00
All natural disasters,1924,303009.00
All natural disasters,1925,5832.00
All natural disasters,1926,427852.00
All natural disasters,1927,215160.00
All natural disasters,1928,3004895.00
All natural disasters,1929,8377.00
All natural disasters,1930,10572.00
All natural disasters,1931,3706227.00
All natural disasters,1932,73296.00
All natural disasters,1933,34296.00
All natural disasters,1934,21087.00
All natural disasters,1935,272817.00
All natural disasters,1936,5301.00
All natural disasters,1937,12025.00
All natural disasters,1938,2225.00
All natural disasters,1939,563178.00
All natural disasters,1940,23023.00
All natural disasters,1941,10195.00
All natural disasters,1942,1608235.00
All natural disasters,1943,1910322.00
All natural disasters,1944,15906.00
All natural disasters,1945,10376.00
All natural disasters,1946,35490.00
All natural disasters,1947,17647.00
All natural disasters,1948,120131.00
All natural disasters,1949,120370.00
All natural disasters,1950,6728.00
All natural disasters,1951,15042.00
All natural disasters,1952,8965.00
All natural disasters,1953,12956.00
All natural disasters,1954,41872.00
All natural disasters,1955,6026.00
All natural disasters,1956,7737.00
All natural disasters,1957,10603.00
All natural disasters,1958,3950.00
All natural disasters,1959,2013242.00
All natural disasters,1960,39188.00
All natural disasters,1961,17341.00
All natural disasters,1962,17370.00
All natural disasters,1963,37746.00
All natural disasters,1964,12892.00
All natural disasters,1965,1565517.00
All natural disasters,1966,17181.00
All natural disasters,1967,10103.00
All natural disasters,1968,21461.00
All natural disasters,1969,11687.00
All natural disasters,1970,387507.00
All natural disasters,1971,18086.00
All natural disasters,1972,20045.00
All natural disasters,1973,110555.00
All natural disasters,1974,87504.00
All natural disasters,1975,14858.00
All natural disasters,1976,280469.00
All natural disasters,1977,22406.00
All natural disasters,1978,38096.00
All natural disasters,1979,7341.00
All natural disasters,1980,23089.00
All natural disasters,1981,119697.00
All natural disasters,1982,13973.00
All natural disasters,1983,461561.00
All natural disasters,1984,16273.00
All natural disasters,1985,60232.00
All natural disasters,1986,10349.00
All natural disasters,1987,21533.00
All natural disasters,1988,57464.00
All natural disasters,1989,12611.00
All natural disasters,1990,53141.00
All natural disasters,1991,189707.00
All natural disasters,1992,18911.00
All natural disasters,1993,21821.00
All natural disasters,1994,15590.00
All natural disasters,1995,27166.00
All natural disasters,1996,31595.00
All natural disasters,1997,30124.00
All natural disasters,1998,62672.00
All natural disasters,1999,76886.00
All natural disasters,2000,16667.00
All natural disasters,2001,39493.00
All natural disasters,2002,21342.00
All natural disasters,2003,113558.00
All natural disasters,2004,244772.00
All natural disasters,2005,93566.00
All natural disasters,2006,29893.00
All natural disasters,2007,22422.00
All natural disasters,2008,242236.00
All natural disasters,2009,16037.00
All natural disasters,2010,329900.00
All natural disasters,2011,34143.00
All natural disasters,2012,11619.00
All natural disasters,2013,22225.00
All natural disasters,2014,20882.00
All natural disasters,2015,23893.00
All natural disasters,2016,10201.00
All natural disasters,2017,2087.00
Drought,1900,1261000.00
Drought,1910,85000.00
Drought,1920,524000.00
Drought,1921,1200000.00
Drought,1928,3000000.00
Drought,1940,20000.00
Drought,1942,1500000.00
Drought,1943,1900000.00
Drought,1946,30000.00
Drought,1964,50.00
Drought,1965,1502000.00
Drought,1966,8000.00
Drought,1967,600.00
Drought,1973,100000.00
Drought,1974,19000.00
Drought,1978,63.00
Drought,1979,18.00
Drought,1981,103000.00
Drought,1982,280.00
Drought,1983,450520.00
Drought,1984,230.00
Drought,1986,84.00
Drought,1987,1317.00
Drought,1988,1600.00
Drought,1989,237.00
Drought,1991,2000.00
Drought,1997,732.00
Drought,1998,20.00
Drought,1999,361.00
Drought,2000,80.00
Drought,2001,99.00
Drought,2002,588.00
Drought,2003,9.00
Drought,2004,80.00
Drought,2005,149.00
Drought,2006,134.00
Drought,2008,8.00
Drought,2010,20000.00
Drought,2015,35.00
Earthquake,1901,18.00
Earthquake,1902,6747.00
Earthquake,1903,6000.00
Earthquake,1905,22500.00
Earthquake,1906,31966.00
Earthquake,1907,25641.00
Earthquake,1908,75000.00
Earthquake,1909,5146.00
Earthquake,1910,1762.00
Earthquake,1912,923.00
Earthquake,1913,150.00
Earthquake,1914,149.00
Earthquake,1915,29986.00
Earthquake,1917,19450.00
Earthquake,1918,10379.00
Earthquake,1920,180000.00
Earthquake,1922,1100.00
Earthquake,1923,152362.00
Earthquake,1924,767.00
Earthquake,1925,5013.00
Earthquake,1926,12.00
Earthquake,1927,206142.00
Earthquake,1928,635.00
Earthquake,1929,3317.00
Earthquake,1930,5081.00
Earthquake,1931,1537.00
Earthquake,1932,70006.00
Earthquake,1933,16180.00
Earthquake,1934,15496.00
Earthquake,1935,66110.00
Earthquake,1936,26.00
Earthquake,1938,166.00
Earthquake,1939,63094.00
Earthquake,1940,1275.00
Earthquake,1941,189.00
Earthquake,1942,7235.00
Earthquake,1943,4332.00
Earthquake,1944,14984.00
Earthquake,1945,5961.00
Earthquake,1946,5153.00
Earthquake,1947,633.00
Earthquake,1948,115618.00
Earthquake,1949,6486.00
Earthquake,1950,1833.00
Earthquake,1951,1554.00
Earthquake,1952,2432.00
Earthquake,1953,2717.00
Earthquake,1954,3344.00
Earthquake,1955,959.00
Earthquake,1956,763.00
Earthquake,1957,6993.00
Earthquake,1958,227.00
Earthquake,1959,103.00
Earthquake,1960,19395.00
Earthquake,1961,60.00
Earthquake,1962,12209.00
Earthquake,1963,1700.00
Earthquake,1964,335.00
Earthquake,1965,683.00
Earthquake,1966,2752.00
Earthquake,1967,1013.00
Earthquake,1968,10858.00
Earthquake,1969,3353.00
Earthquake,1970,78599.00
Earthquake,1971,1107.00
Earthquake,1972,15170.00
Earthquake,1973,552.00
Earthquake,1974,24808.00
Earthquake,1975,12632.00
Earthquake,1976,276994.00
Earthquake,1977,3098.00
Earthquake,1978,25162.00
Earthquake,1979,2100.00
Earthquake,1980,7730.00
Earthquake,1981,4206.00
Earthquake,1982,2120.00
Earthquake,1983,2148.00
Earthquake,1984,57.00
Earthquake,1985,9853.00
Earthquake,1986,1181.00
Earthquake,1987,5160.00
Earthquake,1988,27049.00
Earthquake,1989,650.00
Earthquake,1990,42853.00
Earthquake,1991,2454.00
Earthquake,1992,4033.00
Earthquake,1993,10088.00
Earthquake,1994,1242.00
Earthquake,1995,7739.00
Earthquake,1996,576.00
Earthquake,1997,3159.00
Earthquake,1998,9573.00
Earthquake,1999,21869.00
Earthquake,2000,217.00
Earthquake,2001,21348.00
Earthquake,2002,1639.00
Earthquake,2003,29617.00
Earthquake,2004,227290.00
Earthquake,2005,76241.00
Earthquake,2006,6692.00
Earthquake,2007,780.00
Earthquake,2008,87918.00
Earthquake,2009,1893.00
Earthquake,2010,226733.00
Earthquake,2011,20946.00
Earthquake,2012,711.00
Earthquake,2013,1120.00
Earthquake,2014,774.00
Earthquake,2015,9550.00
Earthquake,2016,1311.00
Earthquake,2017,49.00
Epidemic,1900,30.00
Epidemic,1901,200000.00
Epidemic,1907,1300000.00
Epidemic,1909,1500040.00
Epidemic,1910,60000.00
Epidemic,1917,2500000.00
Epidemic,1918,449700.00
Epidemic,1920,2500000.00
Epidemic,1923,100000.00
Epidemic,1924,300000.00
Epidemic,1926,423000.00
Epidemic,1932,16.00
Epidemic,1935,2000.00
Epidemic,1940,1500.00
Epidemic,1947,10276.00
Epidemic,1953,481.00
Epidemic,1963,1000.00
Epidemic,1964,617.00
Epidemic,1965,816.00
Epidemic,1966,200.00
Epidemic,1967,3137.00
Epidemic,1968,177.00
Epidemic,1969,3520.00
Epidemic,1970,939.00
Epidemic,1971,2313.00
Epidemic,1972,35.00
Epidemic,1974,1500.00
Epidemic,1976,396.00
Epidemic,1977,1184.00
Epidemic,1978,3060.00
Epidemic,1979,486.00
Epidemic,1980,1685.00
Epidemic,1981,2497.00
Epidemic,1982,2912.00
Epidemic,1983,1219.00
Epidemic,1984,7016.00
Epidemic,1985,5854.00
Epidemic,1986,3046.00
Epidemic,1987,2592.00
Epidemic,1988,15216.00
Epidemic,1989,1870.00
Epidemic,1990,2207.00
Epidemic,1991,30682.00
Epidemic,1992,6675.00
Epidemic,1993,651.00
Epidemic,1994,2505.00
Epidemic,1995,4428.00
Epidemic,1996,16887.00
Epidemic,1997,10674.00
Epidemic,1998,12931.00
Epidemic,1999,6293.00
Epidemic,2000,6980.00
Epidemic,2001,8515.00
Epidemic,2002,8762.00
Epidemic,2003,3522.00
Epidemic,2004,3245.00
Epidemic,2005,3909.00
Epidemic,2006,6402.00
Epidemic,2007,5484.00
Epidemic,2008,6904.00
Epidemic,2009,4895.00
Epidemic,2010,12143.00
Epidemic,2011,3174.00
Epidemic,2012,1887.00
Epidemic,2013,529.00
Epidemic,2014,12911.00
Epidemic,2015,1032.00
Epidemic,2016,1520.00
Epidemic,2017,386.00
Extreme temperature,1936,1693.00
Extreme temperature,1951,69.00
Extreme temperature,1953,669.00
Extreme temperature,1955,107.00
Extreme temperature,1958,651.00
Extreme temperature,1961,400.00
Extreme temperature,1962,50.00
Extreme temperature,1963,162.00
Extreme temperature,1965,100.00
Extreme temperature,1966,262.00
Extreme temperature,1968,153.00
Extreme temperature,1971,400.00
Extreme temperature,1972,110.00
Extreme temperature,1973,283.00
Extreme temperature,1975,140.00
Extreme temperature,1978,150.00
Extreme temperature,1979,470.00
Extreme temperature,1980,1389.00
Extreme temperature,1981,300.00
Extreme temperature,1982,400.00
Extreme temperature,1983,205.00
Extreme temperature,1984,290.00
Extreme temperature,1985,456.00
Extreme temperature,1986,50.00
Extreme temperature,1987,1220.00
Extreme temperature,1988,644.00
Extreme temperature,1989,381.00
Extreme temperature,1990,979.00
Extreme temperature,1991,835.00
Extreme temperature,1992,388.00
Extreme temperature,1993,106.00
Extreme temperature,1994,341.00
Extreme temperature,1995,1730.00
Extreme temperature,1996,300.00
Extreme temperature,1997,604.00
Extreme temperature,1998,3269.00
Extreme temperature,1999,771.00
Extreme temperature,2000,941.00
Extreme temperature,2001,1787.00
Extreme temperature,2002,3369.00
Extreme temperature,2003,74698.00
Extreme temperature,2004,255.00
Extreme temperature,2005,1550.00
Extreme temperature,2006,4826.00
Extreme temperature,2007,1086.00
Extreme temperature,2008,1688.00
Extreme temperature,2009,1386.00
Extreme temperature,2010,57188.00
Extreme temperature,2011,435.00
Extreme temperature,2012,1834.00
Extreme temperature,2013,1821.00
Extreme temperature,2014,1168.00
Extreme temperature,2015,7425.00
Extreme temperature,2016,490.00
Extreme temperature,2017,130.00
Extreme weather,1900,6000.00
Extreme weather,1902,600.00
Extreme weather,1903,163.00
Extreme weather,1905,240.00
Extreme weather,1906,10298.00
Extreme weather,1909,713.00
Extreme weather,1910,30.00
Extreme weather,1911,1000.00
Extreme weather,1912,51170.00
Extreme weather,1913,732.00
Extreme weather,1915,2125.00
Extreme weather,1916,300.00
Extreme weather,1917,4057.00
Extreme weather,1918,34.00
Extreme weather,1919,500.00
Extreme weather,1920,224.00
Extreme weather,1922,100000.00
Extreme weather,1923,3139.00
Extreme weather,1924,2242.00
Extreme weather,1925,819.00
Extreme weather,1926,3568.00
Extreme weather,1927,5772.00
Extreme weather,1928,4224.00
Extreme weather,1930,4082.00
Extreme weather,1931,3200.00
Extreme weather,1932,3244.00
Extreme weather,1933,63.00
Extreme weather,1934,5091.00
Extreme weather,1935,62707.00
Extreme weather,1936,3309.00
Extreme weather,1937,11231.00
Extreme weather,1938,905.00
Extreme weather,1939,3.00
Extreme weather,1940,123.00
Extreme weather,1941,5006.00
Extreme weather,1942,101000.00
Extreme weather,1943,5000.00
Extreme weather,1944,726.00
Extreme weather,1945,4415.00
Extreme weather,1946,337.00
Extreme weather,1947,4738.00
Extreme weather,1948,2971.00
Extreme weather,1949,2804.00
Extreme weather,1950,873.00
Extreme weather,1951,2861.00
Extreme weather,1952,6277.00
Extreme weather,1953,1814.00
Extreme weather,1954,2969.00
Extreme weather,1955,3895.00
Extreme weather,1956,3114.00
Extreme weather,1957,1139.00
Extreme weather,1958,2620.00
Extreme weather,1959,9695.00
Extreme weather,1960,9164.00
Extreme weather,1961,12852.00
Extreme weather,1962,1860.00
Extreme weather,1963,29965.00
Extreme weather,1964,10655.00
Extreme weather,1965,59932.00
Extreme weather,1966,2327.00
Extreme weather,1967,2255.00
Extreme weather,1968,1669.00
Extreme weather,1969,3252.00
Extreme weather,1970,304495.00
Extreme weather,1971,10811.00
Extreme weather,1972,1427.00
Extreme weather,1973,4344.00
Extreme weather,1974,11861.00
Extreme weather,1975,1041.00
Extreme weather,1976,1763.00
Extreme weather,1977,15298.00
Extreme weather,1978,3676.00
Extreme weather,1979,2623.00
Extreme weather,1980,1379.00
Extreme weather,1981,3790.00
Extreme weather,1982,2782.00
Extreme weather,1983,3656.00
Extreme weather,1984,5468.00
Extreme weather,1985,17165.00
Extreme weather,1986,1939.00
Extreme weather,1987,2900.00
Extreme weather,1988,3335.00
Extreme weather,1989,4256.00
Extreme weather,1990,4604.00
Extreme weather,1991,146297.00
Extreme weather,1992,1342.00
Extreme weather,1993,2965.00
Extreme weather,1994,4239.00
Extreme weather,1995,3763.00
Extreme weather,1996,4581.00
Extreme weather,1997,6150.00
Extreme weather,1998,24935.00
Extreme weather,1999,12270.00
Extreme weather,2000,1354.00
Extreme weather,2001,1911.00
Extreme weather,2002,1382.00
Extreme weather,2003,1049.00
Extreme weather,2004,6547.00
Extreme weather,2005,5251.00
Extreme weather,2006,4329.00
Extreme weather,2007,6035.00
Extreme weather,2008,140985.00
Extreme weather,2009,3287.00
Extreme weather,2010,1564.00
Extreme weather,2011,3103.00
Extreme weather,2012,3105.00
Extreme weather,2013,8603.00
Extreme weather,2014,1424.00
Extreme weather,2015,1270.00
Extreme weather,2016,1760.00
Extreme weather,2017,394.00
Flood,1900,300.00
Flood,1903,250.00
Flood,1906,6.00
Flood,1909,72.00
Flood,1910,1379.00
Flood,1911,100000.00
Flood,1926,1000.00
Flood,1927,3246.00
Flood,1928,36.00
Flood,1931,3700000.00
Flood,1933,18053.00
Flood,1935,142000.00
Flood,1936,200.00
Flood,1937,248.00
Flood,1938,954.00
Flood,1939,500010.00
Flood,1940,125.00
Flood,1943,990.00
Flood,1947,2000.00
Flood,1948,917.00
Flood,1949,97000.00
Flood,1950,3808.00
Flood,1951,5666.00
Flood,1952,199.00
Flood,1953,7125.00
Flood,1954,34436.00
Flood,1955,584.00
Flood,1956,3613.00
Flood,1957,2471.00
Flood,1958,400.00
Flood,1959,2003396.00
Flood,1960,10577.00
Flood,1961,3863.00
Flood,1962,1180.00
Flood,1963,1031.00
Flood,1964,1123.00
Flood,1965,1401.00
Flood,1966,1923.00
Flood,1967,2446.00
Flood,1968,7306.00
Flood,1969,1544.00
Flood,1970,3246.00
Flood,1971,2404.00
Flood,1972,2548.00
Flood,1973,1835.00
Flood,1974,29431.00
Flood,1975,848.00
Flood,1976,960.00
Flood,1977,2568.00
Flood,1978,5897.00
Flood,1979,1038.00
Flood,1980,10466.00
Flood,1981,5283.00
Flood,1982,4648.00
Flood,1983,2082.00
Flood,1984,2930.00
Flood,1985,4376.00
Flood,1986,1782.00
Flood,1987,6766.00
Flood,1988,8504.00
Flood,1989,4716.00
Flood,1990,2251.00
Flood,1991,5852.00
Flood,1992,5315.00
Flood,1993,6150.00
Flood,1994,6771.00
Flood,1995,7956.00
Flood,1996,8047.00
Flood,1997,7685.00
Flood,1998,10653.00
Flood,1999,34807.00
Flood,2000,6025.00
Flood,2001,5014.00
Flood,2002,4236.00
Flood,2003,3910.00
Flood,2004,6982.00
Flood,2005,5754.00
Flood,2006,5843.00
Flood,2007,8607.00
Flood,2008,4007.00
Flood,2009,3627.00
Flood,2010,8356.00
Flood,2011,6163.00
Flood,2012,3544.00
Flood,2013,9836.00
Flood,2014,3532.00
Flood,2015,3495.00
Flood,2016,4720.00
Flood,2017,648.00
Landslide,1909,53.00
Landslide,1922,100.00
Landslide,1923,200.00
Landslide,1926,128.00
Landslide,1930,40.00
Landslide,1931,190.00
Landslide,1932,30.00
Landslide,1934,500.00
Landslide,1936,73.00
Landslide,1938,200.00
Landslide,1941,5000.00
Landslide,1948,525.00
Landslide,1949,12000.00
Landslide,1950,130.00
Landslide,1951,92.00
Landslide,1952,28.00
Landslide,1954,1086.00
Landslide,1955,478.00
Landslide,1956,236.00
Landslide,1958,52.00
Landslide,1959,48.00
Landslide,1960,52.00
Landslide,1961,166.00
Landslide,1962,71.00
Landslide,1963,2033.00
Landslide,1964,108.00
Landslide,1965,204.00
Landslide,1966,604.00
Landslide,1967,590.00
Landslide,1968,1196.00
Landslide,1969,18.00
Landslide,1970,186.00
Landslide,1971,1020.00
Landslide,1972,755.00
Landslide,1973,3541.00
Landslide,1974,904.00
Landslide,1975,195.00
Landslide,1976,315.00
Landslide,1977,40.00
Landslide,1978,86.00
Landslide,1979,338.00
Landslide,1980,300.00
Landslide,1981,421.00
Landslide,1982,640.00
Landslide,1983,1159.00
Landslide,1984,228.00
Landslide,1985,377.00
Landslide,1986,501.00
Landslide,1987,1204.00
Landslide,1988,952.00
Landslide,1989,445.00
Landslide,1990,98.00
Landslide,1991,728.00
Landslide,1992,712.00
Landslide,1993,1418.00
Landslide,1994,307.00
Landslide,1995,1521.00
Landslide,1996,1155.00
Landslide,1997,801.00
Landslide,1998,1141.00
Landslide,1999,445.00
Landslide,2000,1012.00
Landslide,2001,786.00
Landslide,2002,1100.00
Landslide,2003,706.00
Landslide,2004,313.00
Landslide,2005,664.00
Landslide,2006,1638.00
Landslide,2007,271.00
Landslide,2008,504.00
Landslide,2009,723.00
Landslide,2010,3427.00
Landslide,2011,309.00
Landslide,2012,501.00
Landslide,2013,235.00
Landslide,2014,943.00
Landslide,2015,1006.00
Landslide,2016,361.00
Landslide,2017,405.00
Mass movement (dry),1903,76.00
Mass movement (dry),1905,18.00
Mass movement (dry),1908,33.00
Mass movement (dry),1910,62.00
Mass movement (dry),1915,56.00
Mass movement (dry),1937,40.00
Mass movement (dry),1955,3.00
Mass movement (dry),1962,2000.00
Mass movement (dry),1963,150.00
Mass movement (dry),1965,26.00
Mass movement (dry),1970,42.00
Mass movement (dry),1971,31.00
Mass movement (dry),1980,50.00
Mass movement (dry),1982,59.00
Mass movement (dry),1983,466.00
Mass movement (dry),1985,300.00
Mass movement (dry),1987,183.00
Mass movement (dry),1988,157.00
Mass movement (dry),1989,55.00
Mass movement (dry),1990,116.00
Mass movement (dry),1991,86.00
Mass movement (dry),1992,323.00
Mass movement (dry),1993,341.00
Mass movement (dry),2000,11.00
Mass movement (dry),2002,60.00
Mass movement (dry),2004,44.00
Mass movement (dry),2006,11.00
Mass movement (dry),2008,120.00
Mass movement (dry),2009,36.00
Mass movement (dry),2012,16.00
Mass movement (dry),2013,46.00
Mass movement (dry),2015,13.00
Volcanic activity,1900,30.00
Volcanic activity,1902,38690.00
Volcanic activity,1903,17.00
Volcanic activity,1906,700.00
Volcanic activity,1909,5500.00
Volcanic activity,1911,1335.00
Volcanic activity,1914,140.00
Volcanic activity,1919,5000.00
Volcanic activity,1926,144.00
Volcanic activity,1929,5000.00
Volcanic activity,1930,1369.00
Volcanic activity,1931,1300.00
Volcanic activity,1937,506.00
Volcanic activity,1944,26.00
Volcanic activity,1948,100.00
Volcanic activity,1949,2000.00
Volcanic activity,1950,84.00
Volcanic activity,1951,4800.00
Volcanic activity,1952,29.00
Volcanic activity,1953,150.00
Volcanic activity,1954,37.00
Volcanic activity,1963,1705.00
Volcanic activity,1964,4.00
Volcanic activity,1965,355.00
Volcanic activity,1966,1088.00
Volcanic activity,1968,90.00
Volcanic activity,1975,2.00
Volcanic activity,1976,41.00
Volcanic activity,1977,215.00
Volcanic activity,1979,268.00
Volcanic activity,1980,90.00
Volcanic activity,1981,192.00
Volcanic activity,1982,130.00
Volcanic activity,1984,37.00
Volcanic activity,1985,21800.00
Volcanic activity,1986,1746.00
Volcanic activity,1988,7.00
Volcanic activity,1990,33.00
Volcanic activity,1991,683.00
Volcanic activity,1992,1.00
Volcanic activity,1993,99.00
Volcanic activity,1994,101.00
Volcanic activity,1996,4.00
Volcanic activity,1997,53.00
Volcanic activity,2002,200.00
Volcanic activity,2004,2.00
Volcanic activity,2005,3.00
Volcanic activity,2006,5.00
Volcanic activity,2007,11.00
Volcanic activity,2008,16.00
Volcanic activity,2010,323.00
Volcanic activity,2011,3.00
Volcanic activity,2014,102.00
Wildfire,1911,73.00
Wildfire,1918,1000.00
Wildfire,1922,43.00
Wildfire,1929,60.00
Wildfire,1939,71.00
Wildfire,1944,170.00
Wildfire,1949,80.00
Wildfire,1956,11.00
Wildfire,1966,25.00
Wildfire,1967,62.00
Wildfire,1968,12.00
Wildfire,1977,3.00
Wildfire,1978,2.00
Wildfire,1981,8.00
Wildfire,1982,2.00
Wildfire,1983,106.00
Wildfire,1984,17.00
Wildfire,1985,51.00
Wildfire,1986,20.00
Wildfire,1987,191.00
Wildfire,1989,1.00
Wildfire,1991,90.00
Wildfire,1992,122.00
Wildfire,1993,3.00
Wildfire,1994,84.00
Wildfire,1995,29.00
Wildfire,1996,45.00
Wildfire,1997,266.00
Wildfire,1998,150.00
Wildfire,1999,70.00
Wildfire,2000,47.00
Wildfire,2001,33.00
Wildfire,2002,6.00
Wildfire,2003,47.00
Wildfire,2004,14.00
Wildfire,2005,45.00
Wildfire,2006,13.00
Wildfire,2007,148.00
Wildfire,2008,86.00
Wildfire,2009,190.00
Wildfire,2010,166.00
Wildfire,2011,10.00
Wildfire,2012,21.00
Wildfire,2013,35.00
Wildfire,2014,16.00
Wildfire,2015,67.00
Wildfire,2016,39.00
Wildfire,2017,75.00
